Index(20ms),Raw,DC Level,AC Level,AC/DC ratio(%),peaks
94.000000,39670.000000,39640.275862,29.724138,0.074985,
95.000000,39688.000000,39640.275862,47.724138,0.120393,
96.000000,39702.000000,39640.275862,61.724138,0.155711,
97.000000,39711.000000,39640.275862,70.724138,0.178415,
98.000000,39700.000000,39640.275862,59.724138,0.150665,
99.000000,39722.000000,39640.275862,81.724138,0.206164,
100.000000,39750.000000,39640.275862,109.724138,0.276800,
101.000000,39776.000000,39640.275862,135.724138,0.342389,
102.000000,39784.000000,39640.275862,143.724138,0.362571,273.000000,local max, 3
103.000000,39782.000000,39640.275862,141.724138,0.357526,
104.000000,39751.000000,39640.275862,110.724138,0.279322,
105.000000,39684.000000,39640.275862,43.724138,0.110302,
106.000000,39595.000000,39640.275862,-45.275862,-0.114217,
107.000000,39511.000000,39640.275862,-129.275862,-0.326123,
108.000000,39451.000000,39640.275862,-189.275862,-0.477484,
109.000000,39415.000000,39640.275862,-225.275862,-0.568300,
110.000000,39398.000000,39616.000000,-218.000000,-0.550283,386.000000,local min,4
111.000000,39420.000000,39616.000000,-196.000000,-0.494750,
112.000000,39440.000000,39616.000000,-176.000000,-0.444265,
113.000000,39441.000000,39616.000000,-175.000000,-0.441741,
114.000000,39458.000000,39616.000000,-158.000000,-0.398829,
115.000000,39496.000000,39616.000000,-120.000000,-0.302908,
116.000000,39521.000000,39616.000000,-95.000000,-0.239802,
117.000000,39536.000000,39616.000000,-80.000000,-0.201939,
118.000000,39577.000000,39616.000000,-39.000000,-0.098445,
119.000000,39575.000000,39616.000000,-41.000000,-0.103494,
120.000000,39601.000000,39616.000000,-15.000000,-0.037863,
121.000000,39624.000000,39616.000000,8.000000,0.020194,
122.000000,39647.000000,39616.000000,31.000000,0.078251,
123.000000,39651.000000,39616.000000,35.000000,0.088348,
124.000000,39694.000000,39616.000000,78.000000,0.196890,
125.000000,39709.000000,39616.000000,93.000000,0.234754,
126.000000,39732.000000,39616.000000,116.000000,0.292811,
127.000000,39746.000000,39616.000000,130.000000,0.328150,
128.000000,39758.000000,39616.000000,142.000000,0.358441,
129.000000,39753.000000,39616.000000,137.000000,0.345820,
130.000000,39782.000000,39616.000000,166.000000,0.419023,
131.000000,39803.000000,39616.000000,187.000000,0.472032,
132.000000,39820.000000,39616.000000,204.000000,0.514943,422.000000,local max, 4
133.000000,39767.000000,39616.000000,151.000000,0.381159,
134.000000,39678.000000,39616.000000,62.000000,0.156502,
135.000000,39589.000000,39616.000000,-27.000000,-0.068154,
136.000000,39534.000000,39616.000000,-82.000000,-0.206987,
137.000000,39498.000000,39616.000000,-118.000000,-0.297859,
138.000000,39461.000000,39477.738095,-16.738095,-0.042399,359.000000,local min,5
139.000000,39498.000000,39477.738095,20.261905,0.051325,
140.000000,39476.000000,39477.738095,-1.738095,-0.004403,
141.000000,39511.000000,39477.738095,33.261905,0.084255,
