1,39756
2,39802
3,39836
4,39852
5,39856
6,39878
7,39872
8,39870
9,39869
10,39875
11,39888
12,39882
13,39890
14,39907
15,39921
16,39928
17,39944
18,39954
19,39962
20,39951
21,39866
22,39775
23,39718
24,39669
25,39655
26,39672
27,39685
28,39713
29,39711
30,39721
31,39768
32,39786
33,39805
34,39800
35,39779
36,39785
37,39790
38,39786
39,39800
40,39835
41,39826
42,39852
43,39843
44,39880
45,39894
46,39902
47,39906
48,39862
49,39775
50,39702
51,39628
52,39580
53,39571
54,39564
55,39574
56,39604
57,39637
58,39646
59,39670
60,39702
61,39689
62,39699
63,39690
64,39681
65,39696
66,39696
67,39729
68,39752
69,39745
70,39761
71,39784
72,39813
73,39820
74,39838
75,39834
76,39791
77,39697
78,39623
79,39575
80,39554
81,39511
82,39526
83,39530
84,39549
85,39594
86,39606
87,39624
88,39638
89,39648
90,39665
91,39640
92,39672
93,39673
94,39670
95,39688
96,39702
97,39711
98,39700
99,39722
100,39750
101,39776
102,39784
103,39782
104,39751
105,39684
106,39595
107,39511
108,39451
109,39415
110,39398
111,39420
112,39440
113,39441
114,39458
115,39496
116,39521
117,39536
118,39577
119,39575
120,39601
121,39624
122,39647
123,39651
124,39694
125,39709
126,39732
127,39746
128,39758
129,39753
130,39782
131,39803
132,39820
133,39767
134,39678
135,39589
136,39534
137,39498
138,39461
139,39498
140,39476
141,39511
142,39492
143,39521
144,39514
145,39559
146,39568
147,39577
148,39573
149,39559
150,39551
151,39573
152,39576
153,39596
154,39572
155,39560
156,39569
157,39572
158,39591
159,39598
160,39619
161,39625
162,39627
163,39556
164,39482
165,39414
166,39344
167,39342
168,39327
169,39321
170,39339
171,39336
172,39326
173,39315
174,39362
175,39350
176,39356
177,39338
178,39320
179,39299
180,39292
181,39325
182,39326
183,39356
184,39336
185,39369
186,39404
187,39430
188,39447
189,39474
190,39485
191,39478
192,39454
193,39373
194,39301
195,39219
196,39175
197,39142
198,39138
199,39152
200,39142
201,39157
202,39200
203,39231
204,39230
205,39256
206,39258
207,39260
208,39247
209,39282
210,39281
211,39303
212,39346
213,39359
214,39418
215,39452
216,39465
217,39503
218,39517
219,39540
220,39530
221,39492
222,39422
223,39376
224,39314
225,39310
226,39316
227,39337
228,39358
229,39418
230,39468
231,39496
232,39522
233,39536
234,39526
235,39529
236,39533
237,39555
238,39528
239,39562
240,39574
241,39580
242,39629
243,39657
244,39663
245,39687
246,39711
247,39739
248,39699
249,39643
250,39565
251,39462
252,39449
253,39404
254,39421
255,39399
256,39448
257,39465
258,39485
259,39527
260,39538
261,39567
262,39574
263,39569
264,39559
265,39571
266,39569
267,39598
268,39576
269,39612
270,39636
271,39647
272,39666
273,39679
274,39724
275,39681
276,39651
277,39568
278,39475
279,39422
280,39394
281,39389
282,39405
283,39418
284,39429
285,39471
286,39509
