1.000000,30767.000000,30767.000000,1st min
2.000000,30873.000000,
3.000000,30938.000000,30938.000000,1st max
4.000000,30938.000000,
5.000000,30873.000000,
6.000000,30767.000000,
7.000000,30661.000000,
8.000000,30596.000000,342.000000,local min,1
9.000000,30596.000000,
10.000000,30661.000000,
11.000000,30766.000000,
12.000000,30871.000000,
13.000000,30935.000000,168.000000,local max, 1
14.000000,30934.000000,
15.000000,30868.000000,
16.000000,30761.000000,
17.000000,30654.000000,
18.000000,30588.000000,
19.000000,30587.000000,348.000000,local min,2
20.000000,30651.000000,
21.000000,30756.000000,
22.000000,30861.000000,
23.000000,30925.000000,329.000000,local max, 2
24.000000,30924.000000,
25.000000,30858.000000,
26.000000,30751.000000,
27.000000,30644.000000,
28.000000,30578.000000,
29.000000,30577.000000,348.000000,local min,3
30.000000,30641.000000,
31.000000,30746.000000,
32.000000,30850.000000,
33.000000,30914.000000,327.000000,local max, 3
34.000000,30912.000000,
35.000000,30845.000000,
36.000000,30737.000000,
37.000000,30629.000000,
38.000000,30562.000000,
39.000000,30560.000000,354.000000,local min,4
40.000000,30623.000000,
41.000000,30727.000000,
42.000000,30831.000000,
43.000000,30894.000000,317.000000,local max, 4
44.000000,30892.000000,
45.000000,30825.000000,
46.000000,30717.000000,
47.000000,30609.000000,
48.000000,30542.000000,
49.000000,30540.000000,354.000000,local min,5
50.000000,30603.000000,
51.000000,30707.000000,
52.000000,30812.000000,
53.000000,30876.000000,316.000000,local max, 5
54.000000,30875.000000,
55.000000,30809.000000,
56.000000,30702.000000,
57.000000,30595.000000,
58.000000,30529.000000,
59.000000,30528.000000,348.000000,local min,6
60.000000,30592.000000,
61.000000,30697.000000,
62.000000,30802.000000,
63.000000,30866.000000,326.000000,local max, 6
64.000000,30865.000000,
65.000000,30799.000000,
66.000000,30692.000000,
67.000000,30585.000000,
68.000000,30519.000000,
69.000000,30518.000000,348.000000,local min,7
70.000000,30582.000000,
71.000000,30688.000000,
72.000000,30794.000000,
73.000000,30859.000000,331.000000,local max, 7
74.000000,30859.000000,
75.000000,30794.000000,
76.000000,30688.000000,
77.000000,30582.000000,
78.000000,30517.000000,342.000000,local min,8
79.000000,30517.000000,
80.000000,30582.000000,
81.000000,30688.000000,
82.000000,30794.000000,
83.000000,30859.000000,341.000000,local max, 8
84.000000,30859.000000,
85.000000,30794.000000,
86.000000,30688.000000,
87.000000,30582.000000,
88.000000,30517.000000,342.000000,local min,9
89.000000,30517.000000,
90.000000,30582.000000,
91.000000,30688.000000,
92.000000,30793.000000,
93.000000,30857.000000,340.000000,local max, 9
94.000000,30856.000000,
95.000000,30790.000000,
96.000000,30683.000000,
97.000000,30576.000000,
98.000000,30510.000000,
99.000000,30509.000000,348.000000,local min,10
100.000000,30573.000000,
101.000000,30678.000000,
